id,datatime,temperature,ph,od,ce,tds,s,opr,position
191,2020-07-31 10:49:39.695699-04,16.0,6.997999999999999,0.0,138.8,75,0.0,1020.0,"{'lat': -25.29719, 'lon': -57.3294072, 'alt': 0.005, 'yaw': -2.7696173191070557}"
192,2020-07-31 10:49:51.583734-04,16.062,6.997999999999999,0.0,139.2,75,0.0,1020.0,"{'lat': -25.2973056, 'lon': -57.3294503, 'alt': -0.03, 'yaw': -2.6548173427581787}"
193,2020-07-31 10:50:03.8888-04,16.125,6.997999999999999,0.0,136.5,73,0.0,1020.0,"{'lat': -25.2974338, 'lon': -57.3295137, 'alt': -0.013, 'yaw': -2.6585934162139893}"
194,2020-07-31 10:50:15.462955-04,16.125,6.999,0.0,137.9,74,0.0,1020.0,"{'lat': -25.297536, 'lon': -57.3295718, 'alt': 0.021, 'yaw': -2.752931833267212}"
195,2020-07-31 10:50:27.379894-04,16.125,7.0,0.0,138.6,74,0.0,1020.0,"{'lat': -25.2976733, 'lon': -57.3296279, 'alt': 0.029, 'yaw': -2.786623954772949}"
196,2020-07-31 10:50:39.283033-04,16.125,6.999,0.0,138.4,74,0.0,1020.0,"{'lat': -25.2977884, 'lon': -57.3296864, 'alt': 0.03, 'yaw': -2.861818552017212}"
197,2020-07-31 10:50:51.198682-04,16.187,6.997000000000001,0.0,138.8,74,0.0,1020.0,"{'lat': -25.2979142, 'lon': -57.3297241, 'alt': 0.009, 'yaw': -2.921377420425415}"
198,2020-07-31 10:51:03.129998-04,16.187,6.999,0.0,138.0,74,0.0,1020.0,"{'lat': -25.2980407, 'lon': -57.3297634, 'alt': -0.006, 'yaw': -2.861433744430542}"
199,2020-07-31 10:51:15.055638-04,16.187,6.997999999999999,0.0,135.2,73,0.0,1020.0,"{'lat': -25.2981485, 'lon': -57.3298097, 'alt': 0.009, 'yaw': -2.933408498764038}"
200,2020-07-31 10:51:26.947176-04,16.187,6.997000000000001,0.0,137.0,73,0.0,1020.0,"{'lat': -25.2982735, 'lon': -57.3298502, 'alt': 0.009, 'yaw': -2.801730155944824}"
201,2020-07-31 10:51:38.892583-04,16.125,6.997999999999999,0.0,136.4,73,0.0,1020.0,"{'lat': -25.2983951, 'lon': -57.3299044, 'alt': 0.0, 'yaw': -2.8633625507354736}"
202,2020-07-31 10:51:50.821038-04,16.125,6.995,0.0,134.4,72,0.0,1020.0,"{'lat': -25.2985188, 'lon': -57.3299527, 'alt': 0.002, 'yaw': -2.9150002002716064}"
203,2020-07-31 10:52:02.757299-04,15.937000000000001,6.996,0.0,133.7,72,0.0,1020.0,"{'lat': -25.2986436, 'lon': -57.3299966, 'alt': -0.013, 'yaw': -3.039541721343994}"
204,2020-07-31 10:52:14.624333-04,15.937000000000001,6.997999999999999,0.0,133.3,72,0.0,1020.0,"{'lat': -25.2987667, 'lon': -57.330035, 'alt': -0.01, 'yaw': -3.0577032566070557}"
205,2020-07-31 10:52:26.582275-04,15.875,6.997000000000001,0.0,132.3,71,0.0,1020.0,"{'lat': -25.2988751, 'lon': -57.3300672, 'alt': 0.006, 'yaw': 3.1316685676574707}"
206,2020-07-31 10:52:38.482153-04,15.875,6.996,0.0,133.0,71,0.0,1020.0,"{'lat': -25.2989943, 'lon': -57.3300961, 'alt': 0.012, 'yaw': -3.0971920490264893}"
207,2020-07-31 10:52:50.391065-04,15.875,6.997999999999999,0.0,133.3,71,0.0,1020.0,"{'lat': -25.2991193, 'lon': -57.3301145, 'alt': -0.039, 'yaw': -3.0174875259399414}"
208,2020-07-31 10:53:02.325611-04,15.875,6.997000000000001,0.0,133.4,72,0.0,1020.0,"{'lat': -25.2992469, 'lon': -57.3301306, 'alt': 0.002, 'yaw': -3.065171241760254}"
209,2020-07-31 10:53:14.242446-04,15.875,6.997000000000001,0.0,133.4,72,0.0,1020.0,"{'lat': -25.2993703, 'lon': -57.3301693, 'alt': -0.003, 'yaw': -3.1034727096557617}"
210,2020-07-31 10:53:26.17071-04,15.812000000000001,6.996,0.0,132.8,71,0.0,1020.0,"{'lat': -25.2994862, 'lon': -57.3302057, 'alt': -0.003, 'yaw': 3.116028308868408}"
211,2020-07-31 10:53:38.10026-04,15.812000000000001,6.997999999999999,0.0,132.9,71,0.0,1020.0,"{'lat': -25.2996073, 'lon': -57.3302293, 'alt': -0.012, 'yaw': 3.102715253829956}"
212,2020-07-31 10:53:49.99037-04,15.812000000000001,6.997999999999999,0.0,133.3,72,0.0,1020.0,"{'lat': -25.2997201, 'lon': -57.3302502, 'alt': 0.014, 'yaw': 3.13266658782959}"
213,2020-07-31 10:54:01.976188-04,15.75,6.999,0.0,132.4,71,0.0,1020.0,"{'lat': -25.299835, 'lon': -57.330267, 'alt': -0.001, 'yaw': 3.100839614868164}"
214,2020-07-31 10:54:13.928741-04,15.75,6.997999999999999,0.0,129.4,69,0.0,1020.0,"{'lat': -25.2999635, 'lon': -57.3302709, 'alt': -0.013, 'yaw': 3.1069540977478027}"
215,2020-07-31 10:54:25.841281-04,15.75,7.0,0.0,131.3,70,0.0,1020.0,"{'lat': -25.3000965, 'lon': -57.3302864, 'alt': -0.002, 'yaw': 3.1387877464294434}"
216,2020-07-31 10:54:37.777622-04,15.687000000000001,6.996,0.0,132.0,71,0.0,1020.0,"{'lat': -25.3002203, 'lon': -57.3302999, 'alt': 0.007, 'yaw': 3.0996451377868652}"
217,2020-07-31 10:54:49.692042-04,15.687000000000001,6.997000000000001,0.0,108.6,58,0.0,1020.0,"{'lat': -25.300347, 'lon': -57.3303139, 'alt': -0.032, 'yaw': 3.0557618141174316}"
218,2020-07-31 10:55:01.601361-04,15.687000000000001,6.997999999999999,0.0,131.8,71,0.0,1020.0,"{'lat': -25.3004654, 'lon': -57.3303177, 'alt': -0.027, 'yaw': 2.954101800918579}"
219,2020-07-31 10:55:13.534655-04,15.687000000000001,6.996,0.0,131.0,70,0.0,1020.0,"{'lat': -25.3005872, 'lon': -57.3303248, 'alt': 0.021, 'yaw': 2.9088377952575684}"
220,2020-07-31 10:55:25.464241-04,15.687000000000001,6.997000000000001,0.0,132.3,71,0.0,1020.0,"{'lat': -25.3007228, 'lon': -57.3303339, 'alt': -0.002, 'yaw': 2.8425889015197754}"
221,2020-07-31 10:55:37.548107-04,15.687000000000001,6.996,0.0,131.8,71,0.0,1020.0,"{'lat': -25.3008425, 'lon': -57.3303269, 'alt': 0.013, 'yaw': 2.8358523845672607}"
222,2020-07-31 10:55:49.303683-04,15.687000000000001,6.997999999999999,0.0,131.3,70,0.0,1020.0,"{'lat': -25.3009594, 'lon': -57.3303162, 'alt': 0.016, 'yaw': 2.935804843902588}"
223,2020-07-31 10:56:01.214132-04,15.687000000000001,6.997000000000001,0.0,131.8,71,0.0,1020.0,"{'lat': -25.3010861, 'lon': -57.3303116, 'alt': -0.016, 'yaw': 2.8635730743408203}"
224,2020-07-31 10:56:13.140397-04,15.687000000000001,6.997000000000001,0.0,131.0,70,0.0,1020.0,"{'lat': -25.3012137, 'lon': -57.3303057, 'alt': 0.029, 'yaw': 2.9522030353546143}"
225,2020-07-31 10:56:36.985775-04,15.625,6.999,0.0,132.2,71,0.0,1020.0,"{'lat': -25.3014268, 'lon': -57.3303156, 'alt': 0.0, 'yaw': 3.0094761848449707}"
226,2020-07-31 10:56:48.887564-04,15.687000000000001,6.997999999999999,0.0,132.2,71,0.0,1020.0,"{'lat': -25.3015486, 'lon': -57.3303124, 'alt': 0.014, 'yaw': 3.0968945026397705}"
227,2020-07-31 10:57:00.841264-04,15.687000000000001,6.999,0.0,131.7,71,0.0,1020.0,"{'lat': -25.3016764, 'lon': -57.3303152, 'alt': -0.004, 'yaw': 3.0609309673309326}"
228,2020-07-31 10:57:12.740884-04,15.625,6.999,0.0,131.9,71,0.0,1020.0,"{'lat': -25.3018078, 'lon': -57.3303202, 'alt': 0.007, 'yaw': -3.048583745956421}"
229,2020-07-31 10:57:25.04469-04,15.625,6.999,0.0,131.8,71,0.0,1020.0,"{'lat': -25.3019444, 'lon': -57.3303426, 'alt': 0.018, 'yaw': -3.0660452842712402}"
230,2020-07-31 10:57:36.660428-04,15.687000000000001,6.997000000000001,0.0,132.6,71,0.0,1020.0,"{'lat': -25.3020739, 'lon': -57.3303612, 'alt': 0.003, 'yaw': -3.0575761795043945}"
231,2020-07-31 10:57:48.880331-04,15.687000000000001,6.997999999999999,0.0,132.1,71,0.0,1020.0,"{'lat': -25.3021995, 'lon': -57.3303822, 'alt': -0.003, 'yaw': -2.99241304397583}"
232,2020-07-31 10:58:00.815335-04,15.687000000000001,6.999,0.0,130.0,70,0.0,1020.0,"{'lat': -25.3023251, 'lon': -57.3304059, 'alt': 0.005, 'yaw': -3.1154651641845703}"
233,2020-07-31 10:58:12.35785-04,15.687000000000001,6.999,0.0,130.3,70,0.0,1020.0,"{'lat': -25.3024352, 'lon': -57.330432, 'alt': 0.007, 'yaw': -3.04941725730896}"
234,2020-07-31 10:58:24.649925-04,15.687000000000001,6.997000000000001,0.0,121.3,65,0.0,1020.0,"{'lat': -25.3025661, 'lon': -57.3304537, 'alt': 0.007, 'yaw': -3.0821516513824463}"
235,2020-07-31 10:58:36.716044-04,15.687000000000001,6.997999999999999,0.0,131.8,71,0.0,1020.0,"{'lat': -25.302697, 'lon': -57.3304818, 'alt': 0.001, 'yaw': -3.0006515979766846}"
236,2020-07-31 10:58:48.124427-04,15.687000000000001,6.997999999999999,0.0,140.2,75,0.0,1020.0,"{'lat': -25.3028238, 'lon': -57.3305023, 'alt': 0.024, 'yaw': -3.0129292011260986}"
237,2020-07-31 10:59:00.094729-04,15.687000000000001,6.999,0.0,132.1,71,0.0,1020.0,"{'lat': -25.3029493, 'lon': -57.3305238, 'alt': 0.017, 'yaw': -2.994318962097168}"
238,2020-07-31 10:59:11.941424-04,15.687000000000001,6.997999999999999,0.0,132.1,71,0.0,1020.0,"{'lat': -25.3030584, 'lon': -57.3305523, 'alt': 0.015, 'yaw': -2.9983344078063965}"
239,2020-07-31 10:59:23.948318-04,15.687000000000001,6.997000000000001,0.0,130.9,70,0.0,1020.0,"{'lat': -25.3031845, 'lon': -57.3305772, 'alt': 0.002, 'yaw': -2.9581820964813232}"
240,2020-07-31 10:59:35.874659-04,15.687000000000001,6.997999999999999,0.0,131.4,70,0.0,1020.0,"{'lat': -25.3033065, 'lon': -57.3306106, 'alt': -0.018, 'yaw': -2.8883421421051025}"
241,2020-07-31 10:59:47.72837-04,15.625,7.0,0.0,12.63,6,0.0,1020.0,"{'lat': -25.3034265, 'lon': -57.3306421, 'alt': 0.011, 'yaw': -2.904186248779297}"
242,2020-07-31 11:00:00.116168-04,15.687000000000001,6.997000000000001,0.0,112.9,60,0.0,1020.0,"{'lat': -25.3035489, 'lon': -57.3306821, 'alt': -0.019, 'yaw': -2.9176909923553467}"
243,2020-07-31 11:00:11.580302-04,15.687000000000001,6.996,0.0,130.7,70,0.0,1020.0,"{'lat': -25.3036615, 'lon': -57.3307242, 'alt': 0.014, 'yaw': -2.9750499725341797}"
244,2020-07-31 11:00:23.665398-04,15.687000000000001,6.997000000000001,0.0,127.7,68,0.0,1020.0,"{'lat': -25.3037826, 'lon': -57.3307665, 'alt': 0.061, 'yaw': -3.0164735317230225}"
245,2020-07-31 11:00:35.401281-04,15.687000000000001,6.997000000000001,0.0,125.7,67,0.0,1020.0,"{'lat': -25.3038953, 'lon': -57.3308097, 'alt': -0.058, 'yaw': -3.0284595489501953}"
246,2020-07-31 11:00:47.311869-04,15.687000000000001,6.995,0.0,132.1,71,0.0,1020.0,"{'lat': -25.3040161, 'lon': -57.3308422, 'alt': 0.005, 'yaw': -3.0425803661346436}"
247,2020-07-31 11:00:59.23173-04,15.687000000000001,6.997000000000001,0.0,131.5,71,0.0,1020.0,"{'lat': -25.304133, 'lon': -57.3308804, 'alt': 0.006, 'yaw': -3.094468355178833}"
248,2020-07-31 11:01:11.283735-04,15.687000000000001,6.997000000000001,0.0,132.1,71,0.0,1020.0,"{'lat': -25.3042518, 'lon': -57.3309187, 'alt': 0.003, 'yaw': 3.1187379360198975}"
249,2020-07-31 11:01:23.10976-04,15.687000000000001,6.997999999999999,0.0,132.6,71,0.0,1020.0,"{'lat': -25.3043707, 'lon': -57.3309514, 'alt': -0.002, 'yaw': 3.065779209136963}"
250,2020-07-31 11:01:35.000118-04,15.687000000000001,6.997000000000001,0.0,131.6,71,0.0,1020.0,"{'lat': -25.3044906, 'lon': -57.3309684, 'alt': -0.019, 'yaw': -3.1118662357330322}"
251,2020-07-31 11:01:46.922889-04,15.687000000000001,6.997999999999999,0.0,132.3,71,0.0,1020.0,"{'lat': -25.3046056, 'lon': -57.3309854, 'alt': 0.002, 'yaw': -3.1390511989593506}"
252,2020-07-31 11:01:58.91517-04,15.687000000000001,6.999,0.0,0.0,0,0.0,1020.0,"{'lat': -25.3047413, 'lon': -57.3310226, 'alt': 0.011, 'yaw': 3.116260051727295}"
253,2020-07-31 11:02:11.006544-04,15.687000000000001,6.996,0.0,131.7,71,0.0,1020.0,"{'lat': -25.3048609, 'lon': -57.3310557, 'alt': 0.001, 'yaw': 3.134061098098755}"
254,2020-07-31 11:02:22.695512-04,15.687000000000001,6.996,0.0,134.5,72,0.0,1020.0,"{'lat': -25.3049864, 'lon': -57.3310814, 'alt': -0.001, 'yaw': 3.0864360332489014}"
255,2020-07-31 11:02:34.617491-04,15.687000000000001,6.997000000000001,0.0,129.9,70,0.0,1020.0,"{'lat': -25.3051103, 'lon': -57.3311018, 'alt': -0.001, 'yaw': 3.0603199005126953}"
256,2020-07-31 11:02:46.510277-04,15.687000000000001,6.997999999999999,0.0,127.8,69,0.0,1020.0,"{'lat': -25.305218, 'lon': -57.3311223, 'alt': 0.024, 'yaw': 3.0380985736846924}"
257,2020-07-31 11:02:58.444139-04,15.687000000000001,6.997000000000001,0.0,135.1,72,0.0,1020.0,"{'lat': -25.3053278, 'lon': -57.3311429, 'alt': -0.027, 'yaw': 3.0709071159362793}"
258,2020-07-31 11:03:10.387239-04,15.687000000000001,6.996,0.0,131.9,71,0.0,1020.0,"{'lat': -25.3054703, 'lon': -57.3311634, 'alt': 0.007, 'yaw': -3.1340484619140625}"
259,2020-07-31 11:03:22.808219-04,15.75,6.996,0.0,132.3,71,0.0,1020.0,"{'lat': -25.3056128, 'lon': -57.3311876, 'alt': 0.008, 'yaw': -3.0882997512817383}"
260,2020-07-31 11:03:34.204368-04,15.75,6.997000000000001,0.0,140.2,75,0.0,1020.0,"{'lat': -25.305728, 'lon': -57.3312045, 'alt': 0.006, 'yaw': -3.040027379989624}"
261,2020-07-31 11:03:46.121312-04,15.75,6.997000000000001,0.0,130.3,70,0.0,1020.0,"{'lat': -25.3058545, 'lon': -57.3312422, 'alt': 0.009, 'yaw': -2.909897565841675}"
262,2020-07-31 11:03:58.099379-04,15.75,6.997000000000001,0.0,132.8,71,0.0,1020.0,"{'lat': -25.3059864, 'lon': -57.3312871, 'alt': 0.007, 'yaw': -2.7870333194732666}"
263,2020-07-31 11:04:10.019313-04,15.75,6.994,0.0,129.7,70,0.0,1020.0,"{'lat': -25.3061102, 'lon': -57.3313456, 'alt': -0.001, 'yaw': -2.8449482917785645}"
264,2020-07-31 11:04:21.956502-04,15.75,6.996,0.0,132.3,71,0.0,1020.0,"{'lat': -25.3062284, 'lon': -57.331404, 'alt': -0.003, 'yaw': -2.888868808746338}"
265,2020-07-31 11:04:33.829767-04,15.75,6.997000000000001,0.0,128.7,69,0.0,1020.0,"{'lat': -25.3063651, 'lon': -57.3314427, 'alt': -0.005, 'yaw': -2.7962892055511475}"
266,2020-07-31 11:04:45.741588-04,15.687000000000001,6.996,0.0,139.9,75,0.0,1020.0,"{'lat': -25.3064815, 'lon': -57.3314878, 'alt': 0.032, 'yaw': -2.85794997215271}"
267,2020-07-31 11:04:57.674955-04,15.687000000000001,6.997000000000001,0.0,132.5,71,0.0,1020.0,"{'lat': -25.3065975, 'lon': -57.3315457, 'alt': 0.017, 'yaw': -2.7246663570404053}"
268,2020-07-31 11:05:09.574743-04,15.687000000000001,6.996,0.0,132.8,71,0.0,1020.0,"{'lat': -25.3067158, 'lon': -57.3316039, 'alt': -0.014, 'yaw': -2.798461675643921}"
269,2020-07-31 11:05:21.75648-04,15.687000000000001,6.997999999999999,0.0,133.5,72,0.0,1020.0,"{'lat': -25.3068384, 'lon': -57.331658, 'alt': -0.022, 'yaw': -2.859218120574951}"
